doc_id,filename,title,idno,level,year
1,2024-l1-topics-combined-2.pdf,2024 Level I Topic Outlines,,l1,2024
2,2024-l2-topics-combined-2 1.pdf,2024 Level II Topic Outlines,,l2,2024
